id x y z vx vy vz fx fy fz c_apE 
49 2.95 6.81273 1.1715 -2.09226 -2.09102 -0.835619 -1.16573e-15 -3.29767e-07 -9.85323e-16 -4.96721 
50 7.375 14.4771 1.1715 0.395401 -0.929928 1.42168 -3.10862e-15 -3.29767e-07 -4.16334e-15 -4.96721 
51 2.95 6.81273 5.8575 1.1501 -3.96314 -0.272098 4.85723e-15 -3.29767e-07 -1.08247e-15 -4.96721 
52 7.375 14.4771 5.8575 -3.6603 3.56824 1.42761 4.38538e-15 -3.29767e-07 3.83027e-15 -4.96721 
53 2.95 6.81273 10.5435 1.97176 -2.75646 2.24948 -2.55351e-15 -3.29767e-07 7.42462e-16 -4.96721 
54 7.375 14.4771 10.5435 -3.23769 -1.36163 -1.31393 2.44249e-15 -3.29767e-07 -1.22125e-15 -4.96721 
55 1.475 0.851592 3.5145 -2.28416 -4.97732 2.82083 -5.19029e-15 3.29767e-07 -1.05471e-15 -4.96721 
56 5.9 8.51592 3.5145 -2.44881 0.258104 -1.65079 5.22499e-15 3.29767e-07 3.26128e-15 -4.96721 
57 1.475 0.851592 8.2005 2.69084 -3.36668 -5.45942 -5.4956e-15 3.29767e-07 -8.32667e-16 -4.96721 
58 5.9 8.51592 8.2005 1.09298 1.05884 -3.71069 2.72699e-15 3.29767e-07 -1.08247e-15 -4.96721 
59 1.475 0.851592 12.8865 0.392509 5.30134 0.466625 -1.30451e-15 3.29767e-07 -2.77556e-17 -4.96721 
60 5.9 8.51592 12.8865 -0.788318 -0.549585 -1.26722 2.19963e-15 3.29767e-07 9.71445e-17 -4.96721 
61 0 3.40637 3.5145 -0.667393 0.378909 2.59523 -3.16414e-15 3.29767e-07 -6.93889e-16 -4.96721 
62 4.425 11.0707 3.5145 2.78963 -0.487528 -2.56281 -1.73188e-15 3.29767e-07 -2.10942e-15 -4.96721 
63 0 3.40637 8.2005 -1.29518 0.042586 1.22393 1.4988e-15 3.29767e-07 5.82867e-16 -4.96721 
64 4.425 11.0707 8.2005 -1.49427 -1.98521 0.608163 7.02216e-15 3.29767e-07 2.17187e-15 -4.96721 
65 0 3.40637 12.8865 -2.5186 1.86457 -2.51733 -1.72085e-15 3.29767e-07 -1.19349e-15 -4.96721 
66 4.425 11.0707 12.8865 2.34951 2.2268 0.316118 8.25728e-16 3.29767e-07 1.04777e-15 -4.96721 
67 7.375 5.96114 3.5145 0.628749 -2.19948 1.81963 -3.83721e-15 3.29767e-07 -1.33921e-15 -4.96721 
68 2.95 13.6255 3.5145 0.989854 -1.16741 -2.13288 -9.4369e-16 3.29767e-07 2.70617e-16 -4.96721 
69 7.375 5.96114 8.2005 0.0306276 -4.58889 0.277875 -4.59355e-15 3.29767e-07 6.66134e-16 -4.96721 
70 2.95 13.6255 8.2005 -0.802067 1.72185 -4.37285 5.07927e-15 3.29767e-07 6.31439e-16 -4.96721 
71 7.375 5.96114 12.8865 -1.15587 -1.1969 -0.765877 -2.92821e-15 3.29767e-07 -3.26128e-16 -4.96721 
72 2.95 13.6255 12.8865 3.52924 3.61038 -0.481621 -1.9984e-15 3.29767e-07 3.40006e-16 -4.96721 
73 4.425 0.851592 3.5145 -2.30855 -1.00825 -1.53334 -5.68989e-16 3.29767e-07 1.11939e-15 -4.96721 
74 0 8.51592 3.5145 -0.752565 1.67236 2.00905 -1.44329e-15 3.29767e-07 -1.9984e-15 -4.96721 
75 4.425 0.851592 8.2005 -1.00057 -6.62792 1.26957 -3.58047e-15 3.29767e-07 1.01748e-15 -4.96721 
76 7.53617e-18 8.51592 8.2005 1.46523 -0.472809 -1.32249 4.10783e-15 3.29767e-07 1.16573e-15 -4.96721 
77 4.425 0.851592 12.8865 0.851878 3.47857 1.90798 -3.747e-16 3.29767e-07 7.84334e-17 -4.96721 
78 5.0256e-17 8.51592 12.8865 -0.800064 0.633051 -1.52297 -2.88658e-15 3.29767e-07 -4.996e-16 -4.96721 
79 2.95 3.40637 3.5145 0.719821 3.67244 0.844813 -6.93889e-16 3.29767e-07 2.58654e-15 -4.96721 
80 7.375 11.0707 3.5145 -2.67051 4.19869 -1.28462 -4.1165e-15 3.29767e-07 -1.38778e-17 -4.96721 
81 2.95 3.40637 8.2005 3.71039 0.55029 -3.03186 2.77556e-17 3.29767e-07 9.92065e-17 -4.96721 
82 7.375 11.0707 8.2005 -0.728586 -0.715872 -1.02946 -9.28771e-15 3.29767e-07 2.5327e-15 -4.96721 
83 2.95 3.40637 12.8865 0.775278 -2.21885 -0.240002 1.38778e-17 3.29767e-07 -6.06748e-16 -4.96721 
84 7.375 11.0707 12.8865 -2.10525 -1.11149 2.61248 4.24313e-15 3.29767e-07 -2.28983e-15 -4.96721 
85 1.475 5.96114 3.5145 0.565212 0.852536 0.729432 2.77556e-16 3.29767e-07 1.19349e-15 -4.96721 
86 5.9 13.6255 3.5145 0.988722 -0.470368 -4.78018 1.51268e-15 3.29767e-07 1.58728e-15 -4.96721 
87 1.475 5.96114 8.2005 -0.482879 0.882108 0.318037 -2.60902e-15 3.29767e-07 -8.04912e-16 -4.96721 
88 5.9 13.6255 8.2005 2.71023 -1.36842 0.734314 1.30451e-15 3.29767e-07 -1.17539e-16 -4.96721 
89 1.475 5.96114 12.8865 1.44766 -2.03989 -0.776726 -1.44329e-15 3.29767e-07 -5.27356e-16 -4.96721 
90 5.9 13.6255 12.8865 1.16034 1.3771 2.42514 1.92901e-15 3.29767e-07 8.84181e-16 -4.96721 
91 7.375 0.851592 3.5145 7.88917 -1.71292 -1.57166 3.67761e-15 3.29767e-07 -1.7486e-15 -4.96721 
92 2.95 8.51592 3.5145 -1.79138 -0.312029 -0.963589 5.55112e-17 3.29767e-07 9.50628e-16 -4.96721 
93 7.375 0.851592 8.2005 1.27002 2.16488 3.74285 7.02216e-15 3.29767e-07 -8.04912e-16 -4.96721 
94 2.95 8.51592 8.2005 1.21262 1.00031 3.10918 -5.44009e-15 3.29767e-07 9.15934e-16 -4.96721 
95 7.375 0.851592 12.8865 1.20707 -1.4177 -4.19854 -4.57967e-15 3.29767e-07 -7.21645e-16 -4.96721 
96 2.95 8.51592 12.8865 -1.39877 2.4572 4.06273 1.60982e-15 3.29767e-07 7.63278e-17 -4.96721 
97 5.9 3.40637 3.5145 -7.0127 0.62761 1.0014 2.07015e-15 3.29767e-07 -2.498e-16 -4.96721 
98 1.475 11.0707 3.5145 3.60852 -0.059547 -2.06863 2.9976e-15 3.29767e-07 1.77636e-15 -4.96721 
99 5.9 3.40637 8.2005 0.177924 -2.53029 0.586886 -2.89042e-15 3.29767e-07 -1.09635e-15 -4.96721 
100 1.475 11.0707 8.2005 2.88166 0.34103 1.01703 -1.94289e-15 3.29767e-07 -4.16334e-17 -4.96721 
101 5.9 3.40637 12.8865 -1.14537 -0.694192 1.41367 4.40232e-15 3.29767e-07 -4.996e-16 -4.96721 
102 1.475 11.0707 12.8865 -0.0899694 -4.0065 -0.414039 -2.55351e-15 3.29767e-07 -1.3739e-15 -4.96721 
103 4.425 5.96114 3.5145 -0.329286 2.56698 -1.21095 2.2482e-15 3.29767e-07 1.22152e-16 -4.96721 
104 0 13.6255 3.5145 -2.56953 4.60704 -2.28926 2.33147e-15 3.29767e-07 1.66533e-16 -4.96721 
105 4.425 5.96114 8.2005 -2.01414 2.12361 1.54433 4.35763e-15 3.29767e-07 1.32217e-16 -4.96721 
106 0 13.6255 8.2005 -3.02552 2.05965 0.377895 -5.55112e-16 3.29767e-07 -7.21645e-16 -4.96721 
107 4.425 5.96114 12.8865 -3.407 2.19093 -2.32849 1.94289e-15 3.29767e-07 -6.66654e-17 -4.96721 
108 0 13.6255 12.8865 0.171959 0.483799 4.62626 9.99201e-16 3.29767e-07 1.9984e-15 -4.96721 
1 0.108514 1.85529 1.14067 -1.19367 -3.00872 -2.35744 -0.153595 -0.449644 -0.183897 -5.0376 
2 4.43569 9.37329 1.10509 1.02789 1.43756 -0.699787 -0.645303 -0.300775 -0.0236281 -5.14023 
3 8.76714 1.77323 5.94202 -0.244023 0.671982 1.42945 0.934287 -0.766116 0.103185 -5.18389 
4 4.40653 9.40951 5.81001 2.25426 -0.56439 0.925544 0.49568 -0.279014 -0.141962 -5.09073 
5 0.0440089 1.71106 10.5 -1.52751 -0.194891 1.82887 -0.796263 -0.736749 -0.298806 -5.05216 
6 4.43128 9.34976 10.594 0.751515 -0.195189 -2.40775 -0.219711 -0.0595702 0.567147 -5.20871 
7 7.36983 4.2782 1.29217 0.604677 -0.07156 -5.05083 0.0756143 -0.144188 0.258843 -5.13209 
8 2.92235 11.9393 1.09833 3.48707 0.0837997 -2.17474 -0.0627882 -0.0922045 -0.0780229 -5.16761 
9 7.29265 4.23856 5.87245 0.952256 -1.09996 0.721914 -0.130979 0.720352 -0.254054 -5.04603 
10 3.0833 11.9107 5.77573 2.5462 -2.33106 -0.22334 -0.517495 0.186817 -0.0804239 -5.05234 
11 7.34179 4.20004 10.5342 1.81383 -3.10039 -2.57125 0.306153 0.321822 -0.124254 -5.22456 
12 2.95915 11.9402 10.5912 2.65539 -1.67027 -0.683832 -0.544665 -0.559287 0.53812 -5.17952 
13 5.87463 6.73152 1.13406 -3.35335 1.14076 -0.953122 -0.38369 0.362801 -0.099932 -5.06159 
14 1.48393 14.5696 1.10159 1.09971 0.609031 1.31354 0.0103585 -0.439048 -0.237479 -5.19143 
15 5.87612 6.9081 5.87311 -1.69738 -0.329401 1.25031 0.551085 -0.337092 0.320033 -5.12501 
16 1.45331 14.4182 5.8048 -2.09833 -0.708255 -1.50807 0.872061 1.76908 -0.292226 -5.0924 
17 5.89373 6.84198 10.4342 0.923738 0.498768 2.11819 -0.521524 -0.547211 -0.164979 -5.17827 
18 1.43977 14.467 10.5642 2.67498 1.17697 1.45576 0.0365282 -0.360358 0.607355 -5.10707 
19 2.96932 1.75929 1.29977 -0.0978317 0.306359 -0.897252 0.0778243 -0.0367608 0.519146 -5.15684 
20 7.32807 9.3667 1.17835 1.8806 0.0021613 -0.0531459 -0.359382 -0.0752218 0.350512 -5.10925 
21 3.06613 1.77515 5.80867 3.10441 -3.74716 0.825348 -1.37153 -0.272254 0.00885345 -5.06658 
22 7.40404 9.48191 5.7419 -1.06868 1.18645 3.13367 0.333754 -0.504964 -0.0764448 -5.13994 
23 2.98019 1.59959 10.4469 -0.264251 0.303474 0.659867 -0.0136246 0.0204701 0.0783057 -5.15034 
24 7.37464 9.32252 10.5305 1.38705 -0.542769 -0.688667 -0.122273 -0.189061 0.425011 -5.15541 
25 1.37681 4.3165 1.14898 -1.02327 -3.50111 0.310034 0.878053 0.132573 -0.335743 -5.10944 
26 5.85589 11.9127 1.15025 -0.00654211 -2.35153 -1.17954 -0.0362762 0.846918 -0.37412 -5.22449 
27 1.38244 4.3229 5.96077 1.90313 1.40733 0.144463 0.639474 0.0470234 -0.0235537 -5.18427 
28 5.92644 11.9308 5.80688 -3.27488 0.979945 -0.615535 0.458187 -0.0346161 -0.319338 -5.02716 
29 1.47403 4.18518 10.4638 -0.890582 0.166259 -1.8416 0.115797 0.484945 -0.262417 -5.17276 
30 5.88465 11.8127 10.6028 -0.889232 0.466599 0.559031 -0.0329691 0.158936 0.502974 -5.14472 
31 8.74772 6.8347 1.15866 -0.119993 -1.14871 1.73171 0.26507 0.144571 -0.114936 -5.03792 
32 4.3646 14.5829 1.09802 2.08444 1.13202 0.871676 0.664565 -0.585712 0.033856 -5.18568 
33 0.0312755 6.83808 5.94034 0.280827 -0.638473 0.504622 -0.64371 0.509285 0.0717543 -5.21158 
34 4.50796 14.4631 5.72532 -1.87146 -1.03795 1.49699 -0.348439 -0.00145329 0.293949 -5.11564 
35 8.81792 6.79159 10.5078 -0.431079 -1.99563 0.00132102 0.188637 -0.612807 -0.467961 -5.12191 
36 4.3602 14.362 10.626 -0.925623 1.80462 1.04024 0.752794 0.499592 0.2399 -5.09314 
37 6.04126 1.66897 1.21394 -2.12633 -0.826223 -2.49805 -0.508321 0.519878 0.272894 -5.15568 
38 1.365 9.23187 1.24222 -2.91327 2.57874 -1.47125 1.15431 -0.0553272 -0.0104717 -5.15961 
39 5.83941 1.72092 5.86971 -1.59131 1.98395 -1.74247 0.590566 -0.0736011 -0.26153 -5.0427 
40 1.56353 9.40016 5.89075 0.629591 2.09432 2.54408 -0.582402 0.0548422 0.0954906 -4.95503 
41 5.88877 1.67946 10.5328 0.981798 0.286859 4.01604 0.469744 -0.961173 -0.160057 -5.09698 
42 1.47034 9.26714 10.4979 -1.88502 0.714323 1.89557 0.170562 0.604625 -0.0905405 -5.06691 
43 4.43669 4.21314 1.1398 0.928045 0.924901 1.82713 -0.0382391 -0.35103 0.00521706 -5.10066 
44 0.0299407 11.8435 1.15499 -3.42298 4.23011 -0.283905 -0.617795 0.43329 -0.578988 -5.06854 
45 4.44115 4.33256 5.85379 -0.875266 0.526313 2.75699 -0.590506 -0.062353 -0.136175 -5.15063 
46 0.0803046 12.0196 5.81853 -1.56482 -0.886692 -2.46144 -0.166147 -0.795563 -0.620138 -4.9253 
47 4.43179 4.14511 10.5555 -1.05448 0.501672 0.432573 -0.162902 0.67248 -0.0225258 -5.13495 
48 8.81626 11.8479 10.6316 -2.22991 -0.0298843 -1.99281 0.404236 -0.0786862 0.180493 -5.18049 
49 3.00109 6.67458 1.10564 0.450779 2.18049 0.29246 -0.441268 0.866713 -0.425981 -5.11338 
50 7.47056 14.5937 1.09827 0.579618 0.986595 -1.00421 -0.218901 -0.775512 -0.641633 -5.20568 
51 2.97745 6.84192 5.91413 -1.14421 3.69776 -0.118761 -0.197503 0.0067473 0.21407 -5.18555 
52 7.38208 14.4738 5.86588 4.93302 -2.4912 -0.562604 -0.0945958 0.0999543 -0.178696 -5.08579 
53 2.91171 6.78092 10.6066 -1.36878 1.53301 -1.73024 0.188357 -0.536623 0.322882 -5.17041 
54 7.35848 14.3266 10.6593 2.5196 1.19641 2.12484 0.106905 1.09685 -0.0501896 -5.19263 
55 1.5548 0.849822 3.55461 0.884371 5.01218 -1.17866 -0.660315 0.115787 0.418948 -5.10312 
56 5.89736 8.55011 3.45425 1.45393 0.529948 1.15662 0.0169291 0.191337 -0.0113079 -5.10112 
57 1.53445 0.893051 8.15821 -2.06434 0.80343 3.28188 -0.097373 -0.879867 -0.206093 -5.17186 
58 5.95785 8.51769 8.14814 -0.841762 -0.119413 2.83884 -0.180209 -0.014603 0.167541 -5.1104 
59 1.50901 0.947551 12.8736 1.06052 -3.37336 -0.875775 -0.12807 0.00808407 -0.157947 -5.10022 
60 5.83175 8.45155 12.902 -0.283245 0.857843 0.696605 0.091321 0.677609 0.546507 -5.09549 
61 8.81479 3.43427 3.6078 0.544828 -0.70665 -1.32884 -0.10155 -0.031675 0.280538 -5.11703 
62 4.4523 11.0657 3.47302 -2.46497 0.549244 0.493016 0.0245147 0.414437 -0.373229 -5.12663 
63 0.0746239 3.41391 8.25674 0.150249 0.0761579 -1.12986 -0.390128 0.048131 -0.423503 -5.12364 
64 4.45908 11.0633 8.20807 2.36766 0.601667 -0.417215 0.0319096 -0.499457 0.143543 -4.99689 
65 8.7335 3.46993 12.9254 1.95292 -0.754642 1.57927 0.730242 -0.107122 -0.203245 -5.04635 
66 4.40516 11.1463 12.9671 -2.19052 -1.74866 0.140295 -0.0936628 -0.300842 0.35092 -5.063 
67 7.36192 5.9884 3.55602 -1.962 2.43 -0.314817 -0.33759 -0.234119 0.277896 -5.12682 
68 2.96126 13.5819 3.46139 -0.160387 1.58337 0.383959 0.414216 0.299555 0.00569132 -5.11563 
69 7.32821 5.91252 8.16132 -0.0552329 3.75484 -0.567684 0.578464 0.119059 -0.0912254 -5.08319 
70 2.99666 13.4992 8.2145 0.241228 -1.55338 3.61244 -0.79687 0.652873 0.125968 -5.14292 
71 7.28149 5.94122 12.9124 -0.00656113 0.925415 -0.502592 0.00391174 0.294337 0.118788 -5.0419 
72 2.92652 13.725 12.8762 -2.44006 -2.19268 0.616525 0.934106 0.0582709 0.0608623 -4.98309 
73 4.47762 0.880649 3.5214 1.57954 1.0341 0.49286 -0.849763 -0.0754983 0.291776 -5.02025 
74 8.74219 8.57278 3.49506 1.07485 -1.62393 -1.12346 0.65499 -0.0119845 0.426626 -5.11558 
75 4.43466 0.690978 8.1288 1.74742 3.53728 -1.58187 0.130568 0.1083 -0.121303 -5.22732 
76 8.84282 8.51774 8.16623 -1.22626 0.201517 0.260592 0.786718 -0.4486 -0.138176 -5.15052 
77 4.53397 0.932515 12.8781 -0.356907 -2.40607 -1.74502 -0.509734 -0.425719 0.0690696 -5.08054 
78 8.78429 8.45166 12.8412 0.0435435 -0.561676 1.39993 -0.138326 0.310944 -0.18656 -5.14302 
79 2.80489 3.44964 3.51646 -1.97209 -1.26157 -0.530885 0.959571 -0.183285 0.480903 -5.15222 
80 7.48339 11.1573 3.47619 1.73513 -2.39079 -0.154407 -1.13309 0.103767 -0.261 -5.03565 
81 3.01114 3.36748 8.17518 -2.80593 -0.805534 2.67729 -0.257144 0.162041 -0.00628136 -5.1076 
82 7.46084 10.9935 8.2258 1.15012 -0.245594 0.494448 -0.607416 0.186136 0.0472511 -5.14996 
83 2.8895 3.38777 12.8657 -1.95023 2.24514 0.0110387 0.274673 0.518314 -0.114546 -5.14541 
84 7.37115 11.0584 12.9951 2.08439 0.593516 -1.83354 0.24845 0.0177342 0.173973 -5.18482 
85 1.38359 6.01999 3.57049 -0.519737 0.550026 -0.555334 0.398405 0.203895 0.220382 -5.16702 
86 5.91258 13.741 3.48319 0.25308 0.932874 2.28192 0.508447 -1.02939 -0.554027 -5.14594 
